,name,addr,city,phone,cuisine_type
0,kokomo,6333 w. third st.,la,2139330773,amurican
1,feenix, 8358 sunset blvd. west ,hollywood,2138486677,american
2,parkway,510 s. arroyo pkwy .,pasadena,8187951001,amerrican
3,r-23,923 e. third st.,los angeles,2136877178,amurican
4,gumbo,6333 w. third st.,la,2139330358,amerycan
5,pink's,709 n. la brea ave.,la,2139314223,ammereican
6,original,875 s. figueroa st. downtown,la,2136276879,italiano
7,21 clubs,21 w. 52nd st. ,new york,2125827200,americano
8,langer's,704 s. alvarado st.,la,2134838050,italien
9,mo,7261 melrose ave.,la,2139355280,amerycan
10,killer,4000 colfax ave.,studio city,8185081570,italiian
11,jody,2011 ocean front walk,venice,3103061995,ameerican
12,chanterele, 2 harrison st. near hudson st. ,new york,2129666960,americin
13,ocean,3117 ocean park blvd.,santa monica,3104525728,itallian
14,bruno's,3838 centinela ave.,mar vista,3103975703,italiian
15,brighton,9600 brighton way,beverly hills,3102767732,italien
16,diaghilev,1020 n. san vicente blvd.,w. hollywood,3108541111,americin
17,rubin's,15322 ventura blvd.,encino,8189056515,asiat
18,ruth's,224 s. beverly dr.,beverly hills,3108598744,america
19,la,1842 e. first,st. boyle hts .,2132652887,americin
20,fourr seasons grill room,99 e. 52nd st. ,new york,2127549494,italiaan
21,valentina, 3115 pico blvd. ,santa monica,3108294313,americin
22,ruby's,45 s. fair oaks ave.,pasadena,8187967829,americin
23,mishima,8474 w. third st.,la,2137820181,italiano
24,baja,3345 kimber dr.,westlake village,8054984049,asianne
25,falafel,1059 broxton ave.,westwood,3102084444,asiann
26,yujean kang's gourmet chineese cuisine,67 n. raymond ave. ,los angeles,8185850855,amerrican
27,gothamm bar & grill,12 e. 12th st. ,new york,2126204020,ameriican
28,art's delicatess, 12224 ventura blvd. ,studio city,8187621221,amerycan
29,asahi,2027 sawtelle blvd.,west la,3104792231,italianne
30,bristol,1570 rosecrans ave. s.,pasadena,3106435229,murican
31,pho,642 broadway,chinatown,2136265530,ammericann
32,local,30869 thousand oaks blvd.,westlake village,8187067706,aamerican
33,joe's,1023 abbot kinney blvd.,venice,3103995811,american
34,bistro,45 s. mentor ave.,pasadena,8187952478,amerrican
35,jan's,8424 beverly blvd.,la,2136512866,americen
36,michael's,1147 third st.,santa monica,3104510843,italiano
37,ocean,145 n. atlantic blvd.,monterey park,8183082128,amurican
38,cafe,9777 little santa monica blvd.,beverly hills,3108880108,americin
39,main,10509 w. pico blvd.,rancho park,3104757564,amerycan
40,arni morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,ameriican
41,indo,10428 1/2 national blvd.,la,3108151290,asiann
42,chez,1716 pch,redondo beach,3105401222,american
43,the palms, 9001 santa monica blvd. ,los angeles,3105508811,amerrican
44,koo,8393 w. beverly blvd.,la,2136559045,ameerrican
45,rae's,2901 pico blvd.,santa monica,3108287937,amerycan
46,benita's,1433 third st. promenade,santa monica,3104582889,ammereican
47,felicia, 243 e. 58th st. ,new york,2127581479,merican
48,johnny,4663 long beach blvd.,long beach,3104237327,ameerican
49,johnny,7507 melrose ave.,la,2136513361,asiaan
50,philipe's the original, 1001 n. alameda st. ,los angeles,2136283781,americen
51,cafe,838 lincoln blvd.,venice,3103991955,ameerrican
52,cassell's,3266 w. sixth st.,la,2134808668,america
53,grill on the allie, 9560 dayton way ,los angeles,3102760615,asiian
54,maxwell's,13329 washington blvd.,marina del rey,3103067829,amerycan
55,cafe lala, 201 w. 83rd st. ,new york,2124966031,italien
56,hollywood,6145 franklin ave.,hollywood,2134677678,asiann
57,carrmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,ameerrican
58,duke's,8909 sunset blvd.,w. hollywood,3106523100,ameriican
59,johnnie's,4017 s. sepulveda blvd.,culver city,3103976654,ameriican
60,bernard's,515 s. olive st.,los angeles,2136121580,italiaan
61,apple,10801 w. pico blvd.,west la,3104753585,amurican
62,belvedere,9882 little santa monica blvd.,beverly hills,3107882306,ammericann
63,poquito,2635 w. olive ave.,burbank,8185632252,murican
64,la,10506 little santa monica blvd.,century city,3104704992,asiian
65,restaurant katsui, 1972 n. hillhurst ave. ,los angeles,2136651891,italian
66,la,22800 pch,malibu,3104566299,asiat
67,aureola,34 e. 61st st. ,new york,2123191660,ammericann
68,russell's,1198 pch,seal beach,3105969556,italian
69,mani's,519 s. fairfax ave.,la,2139388800,amurican
70,john,10516 w. pico blvd.,west la,3102040692,italian
71,dawatt, 210 e. 58th st. ,new york,2123557555,merican
72,brent's,19565 parthenia ave.,northridge,8188865679,american
73,locanda venetta, 3rd st. ,los angeles,3102741893,american
74,campanil, 624 s. la brea ave. ,los angeles,2139381447,asiann
75,rex il ristoranti, 617 s. olive st. ,los angeles,2136272300,asiane
76,don,1136 westwood blvd.,westwood,3102091422,asiian
77,feast,1949 westwood blvd.,west la,3104750400,americin
78,mulberry,17040 ventura blvd.,encino,8189068881,asianne
79,matsuhissa, 129 n. la cienega blvd. ,beverly hills,3106599639,americen
80,jiraffe,502 santa monica blvd,santa monica,3109176671,italiaan
81,martha's,22nd street grill 25 22nd,st. hermosa beach,3103767786,asianne
,,,,,ammereican
,,,,,americin
,,,,,asianne
,,,,,itallian
,,,,,asiane
,,,,,america
,,,,,italiian
,,,,,americin
,,,,,itali
,,,,,americann
,,,,,americann
,,,,,aamerican
,,,,,italiian
,,,,,merican
,,,,,asiaan
,,,,,asiane
,,,,,murican
,,,,,amerycan
,,,,,americen
,,,,,ammericann
,,,,,amerrican
,,,,,italian
,,,,,asiann
,,,,,merican
,,,,,amerrican
,,,,,aamerican
,,,,,amerycan
,,,,,amerycan
,,,,,italiano
,,,,,itallian
,,,,,america
,,,,,asiat
,,,,,ameerican
,,,,,americano
,,,,,asiian
,,,,,italien
,,,,,asiann
,,,,,italiano
,,,,,itallian
,,,,,italiano
,,,,,ammereican
,,,,,ameerrican
,,,,,ameerican
,,,,,italian
,,,,,merican
,,,,,merican
,,,,,italiian
,,,,,aamerican
,,,,,ameerican
,,,,,amurican
,,,,,asiat
,,,,,american
,,,,,ammericann
,,,,,itallian
,,,,,ameriican
,,,,,ameriican
,,,,,italian
,,,,,itali
,,,,,amerrican
,,,,,america
,,,,,amurican
,,,,,italiann
,,,,,americen
,,,,,asiane
,,,,,italiano
,,,,,amerycan
,,,,,itali
,,,,,ameerican
,,,,,americano
,,,,,italien
,,,,,asiat
,,,,,asianne
,,,,,american
,,,,,ameriican
,,,,,asiane
,,,,,asiane
,,,,,american
,,,,,american
,,,,,asiann
,,,,,italiann
,,,,,aamerican
,,,,,american
,,,,,ameriican
,,,,,murican
,,,,,italiaan
,,,,,amerycan
,,,,,americin
,,,,,ameerican
,,,,,italianne
,,,,,itali
,,,,,asiat
,,,,,americann
,,,,,asian
,,,,,asiaan
,,,,,italiaan
,,,,,america
,,,,,italien
,,,,,itallian
,,,,,asiann
,,,,,america
,,,,,asiat
,,,,,america
,,,,,amerrican
,,,,,asian
,,,,,italian
,,,,,asiann
,,,,,ameerrican
,,,,,italiaan
,,,,,americann
,,,,,italianne
,,,,,italiian
,,,,,asiat
,,,,,amerrican
,,,,,asiann
,,,,,americen
,,,,,asiann
,,,,,italianne
,,,,,ammereican
,,,,,americano
,,,,,merican
,,,,,itallian
,,,,,itallian
,,,,,asiann
,,,,,asiann
,,,,,aamerican
,,,,,merican
,,,,,ameerican
,,,,,aamerican
,,,,,merican
,,,,,italien
,,,,,america
,,,,,asiaan
,,,,,ameriican
,,,,,italian
,,,,,italiano
,,,,,americano
,,,,,itallian
,,,,,italiann
,,,,,asian
,,,,,asiian
,,,,,itali
,,,,,asiann
,,,,,itallian
,,,,,ameerican
,,,,,italien
,,,,,americen
,,,,,americen
,,,,,itali
,,,,,asiann
,,,,,italiaan
,,,,,ameerican
,,,,,american
,,,,,americann
,,,,,americano
,,,,,asiaan
,,,,,america
,,,,,amerrican
,,,,,asiann
,,,,,americin
,,,,,asiaan
,,,,,ameriican
,,,,,ameerican
,,,,,italiaan
,,,,,amerrican
,,,,,italianne
,,,,,merican
,,,,,americano
,,,,,amerycan
,,,,,aamerican
,,,,,itallian
,,,,,ameriican
,,,,,asianne
,,,,,italiian
,,,,,asianne
,,,,,merican
,,,,,italiann
,,,,,america
,,,,,italiann
,,,,,asiaan
,,,,,americen
,,,,,italian
,,,,,americen
,,,,,ameerican
,,,,,americann
,,,,,ammereican
,,,,,amurican
,,,,,murican
,,,,,americin
,,,,,itali
,,,,,asianne
,,,,,asiian
,,,,,merican
,,,,,amurican
,,,,,asiaan
,,,,,italiian
,,,,,ammereican
,,,,,americann
,,,,,americano
,,,,,italiano
,,,,,italiano
,,,,,amurican
,,,,,asiann
,,,,,asiane
,,,,,asiane
,,,,,italian
,,,,,ameerican
,,,,,ammereican
,,,,,americen
,,,,,asiane
,,,,,itallian
,,,,,asian
,,,,,murican
,,,,,asiian
,,,,,asiian
,,,,,italiaan
,,,,,asiian
,,,,,asianne
,,,,,italien
,,,,,italiano
,,,,,amurican
,,,,,americen
,,,,,italien
,,,,,ameriican
,,,,,itallian
,,,,,asian
,,,,,italiano
,,,,,asiat
,,,,,italianne
,,,,,italian
,,,,,asiane
,,,,,amerrican
,,,,,itallian
,,,,,aamerican
,,,,,itali
,,,,,aamerican
,,,,,america
,,,,,amurican
,,,,,itallian
,,,,,ammereican
,,,,,italiano
,,,,,amerycan
,,,,,ameerrican
,,,,,asiane
,,,,,italien
,,,,,ammereican
,,,,,asiian
,,,,,americano
,,,,,ameerrican
,,,,,ameriican
,,,,,murican
,,,,,asiat
,,,,,asiann
,,,,,asiian
,,,,,ameerican
,,,,,itali
,,,,,americann
,,,,,american
,,,,,americann
,,,,,italiaan
,,,,,asiat
,,,,,amerycan
,,,,,italiano
,,,,,americen
,,,,,ameriican
,,,,,italianne
,,,,,itallian
,,,,,america
,,,,,merican
,,,,,americen
,,,,,itallian
,,,,,asiane
,,,,,amurican
,,,,,italiaan
,,,,,americann
,,,,,italianne
,,,,,italianne
,,,,,itali
,,,,,italiian
,,,,,italiian
,,,,,italiann
,,,,,itali
,,,,,ameerican
,,,,,itallian
,,,,,italiano
,,,,,italiano
,,,,,italiano
,,,,,aamerican
,,,,,italian
,,,,,asian
,,,,,ameerrican
,,,,,american
,,,,,merican
,,,,,italiian
,,,,,italiann
,,,,,asiaan
,,,,,asiane
,,,,,asianne
,,,,,asiian
,,,,,asianne
,,,,,amerrican
,,,,,ameriican
,,,,,amerrican
,,,,,italiaan
,,,,,amerrican
,,,,,americin
,,,,,asiat
,,,,,asiane
,,,,,asianne
,,,,,merican
,,,,,merican
,,,,,italien
,,,,,amerycan
,,,,,merican
,,,,,italiano
,,,,,asiaan
,,,,,itali
,,,,,italiaan
,,,,,american
,,,,,merican
,,,,,asiian
,,,,,amurican
,,,,,itallian
,,,,,asianne
,,,,,asiane
,,,,,itali
,,,,,italianne
,,,,,amerycan
,,,,,italianne
,,,,,italian
,,,,,asiaan
,,,,,asiat
,,,,,americin
,,,,,aamerican
,,,,,itali
,,,,,ameerrican
,,,,,american
,,,,,america
,,,,,itali
,,,,,asian
,,,,,italianne
,,,,,asiian
,,,,,ammericann
,,,,,italian
,,,,,itali
,,,,,americen
,,,,,amurican
,,,,,americano
,,,,,america
,,,,,ameerrican
,,,,,italiano
,,,,,asiaan
,,,,,americin
,,,,,italiaan
,,,,,american
,,,,,ameriican
,,,,,asiann
,,,,,american
,,,,,amurican
,,,,,italiano
,,,,,asiian
,,,,,asian
,,,,,americin
,,,,,asiat
,,,,,ammereican
,,,,,americin
,,,,,ameerrican
,,,,,americann
,,,,,italian
,,,,,italian
,,,,,aamerican
,,,,,americann
,,,,,ameerican
,,,,,amurican
,,,,,ameerican
,,,,,ameerican
,,,,,murican
,,,,,americin
,,,,,asiane
,,,,,ammereican
,,,,,asian
,,,,,italiano
,,,,,asianne
,,,,,americin
,,,,,amerrican
,,,,,itali
,,,,,italiian
,,,,,asiann
,,,,,americano
,,,,,italiann
,,,,,ammericann
,,,,,asiann
,,,,,ameerican
,,,,,italian
,,,,,amerycan
,,,,,american
,,,,,italian
,,,,,ammereican
,,,,,asianne
,,,,,asianne
,,,,,ammereican
,,,,,amerrican
,,,,,itali
,,,,,americann
,,,,,americen
,,,,,italiano
,,,,,italiaan
,,,,,americann
,,,,,ameriican
,,,,,italiaan
,,,,,italiano
,,,,,italianne
,,,,,america
,,,,,americin
,,,,,italianne
,,,,,amerycan
,,,,,ameerican
,,,,,asiian
,,,,,ameerrican
,,,,,italiano
,,,,,americin
,,,,,america
,,,,,italian
,,,,,itali
,,,,,americen
,,,,,ammereican
,,,,,amerycan
,,,,,asiat
,,,,,asianne
,,,,,asiann
,,,,,amurican
,,,,,ameerican
,,,,,asiian
,,,,,italien
,,,,,itallian
,,,,,asiann
,,,,,asian
,,,,,amerrican
,,,,,ammereican
,,,,,italien
,,,,,asiaan
,,,,,italiano
,,,,,ameerican
,,,,,amerrican
,,,,,asian
,,,,,america
,,,,,ameerican
,,,,,italiaan
,,,,,americann
,,,,,italiian
,,,,,americano
,,,,,america
,,,,,merican
,,,,,ameerican
,,,,,asiian
,,,,,amerrican
,,,,,america
,,,,,asiat
,,,,,ammericann
,,,,,american
,,,,,itallian
,,,,,asiaan
,,,,,italian
,,,,,americen
,,,,,americann
,,,,,aamerican
,,,,,americano
,,,,,italien
,,,,,asiann
,,,,,americen
,,,,,italiann
,,,,,ammereican
,,,,,asiane
,,,,,italiann
,,,,,ammereican
,,,,,asiaan
,,,,,italiaan
,,,,,asiaan
,,,,,asian
,,,,,italien
,,,,,americen
,,,,,americin
,,,,,murican
,,,,,italianne
,,,,,ameriican
,,,,,aamerican
,,,,,italiaan
,,,,,asiian
,,,,,americann
,,,,,murican
,,,,,italiaan
,,,,,american
,,,,,americin
,,,,,ameerican
,,,,,italiian
,,,,,asiaan
,,,,,itali
,,,,,ameriican
,,,,,italiann
,,,,,americano
,,,,,asiann
,,,,,italianne
,,,,,italien
,,,,,americin
,,,,,ameerican
,,,,,asiaan
,,,,,amerrican
,,,,,asiian
,,,,,asianne
,,,,,american
,,,,,italien
,,,,,ammereican
,,,,,itallian
,,,,,ammereican
,,,,,asianne
,,,,,asiaan
,,,,,merican
,,,,,italianne
,,,,,americano
,,,,,asianne
,,,,,americano
,,,,,ammericann
,,,,,american
,,,,,asiann
,,,,,italianne
,,,,,asiaan
,,,,,asianne
,,,,,american
,,,,,italiano
,,,,,asiaan
,,,,,americann
,,,,,ameriican
,,,,,american
,,,,,italiaan
,,,,,americano
,,,,,italien
,,,,,americann
,,,,,ameriican
,,,,,merican
,,,,,merican
,,,,,americano
,,,,,asian
,,,,,italiano
,,,,,asiat
,,,,,amerycan
,,,,,americin
,,,,,amurican
,,,,,italien
,,,,,asiaan
,,,,,ammericann
,,,,,italien
,,,,,ammericann
,,,,,italiann
,,,,,americen
,,,,,aamerican
,,,,,amerrican
,,,,,italiano
,,,,,italianne
,,,,,aamerican
,,,,,aamerican
,,,,,americin
,,,,,asiane
,,,,,aamerican
,,,,,americin
,,,,,asiane
,,,,,ameerrican
,,,,,america
,,,,,asiane
,,,,,italien
,,,,,ameerrican
,,,,,americano
,,,,,italiann
,,,,,asian
,,,,,merican
,,,,,italiaan
,,,,,american
,,,,,asianne
,,,,,italiian
,,,,,italianne
,,,,,ammericann
,,,,,asiann
,,,,,italian
,,,,,american
,,,,,asiann
,,,,,america
,,,,,itallian
,,,,,murican
,,,,,ameriican
,,,,,italiaan
,,,,,amerrican
,,,,,asiane
,,,,,amerycan
,,,,,asiane
,,,,,asiaan
,,,,,amurican
,,,,,americen
,,,,,itali
,,,,,americen
,,,,,americano
,,,,,asiian
,,,,,americano
,,,,,asiat
,,,,,asiann
,,,,,american
,,,,,murican
,,,,,itallian
,,,,,italien
,,,,,amerrican
,,,,,america
,,,,,ameriican
,,,,,asiann
,,,,,ameerrican
,,,,,asian
,,,,,italien
,,,,,americano
,,,,,italien
,,,,,asiat
,,,,,murican
,,,,,italiian
,,,,,asiann
,,,,,amerycan
,,,,,americen
,,,,,ammereican
,,,,,italien
,,,,,america
,,,,,amurican
,,,,,italiaan
,,,,,itali
,,,,,ameerrican
,,,,,itali
,,,,,italianne
,,,,,asiane
,,,,,italiian
,,,,,italiian
,,,,,amerycan
,,,,,aamerican
,,,,,americin
,,,,,italien
,,,,,asiaan
,,,,,italiano
,,,,,asian
,,,,,italiano
,,,,,asiian
,,,,,italiann
,,,,,italiano
,,,,,ameriican
,,,,,murican
,,,,,amerycan
,,,,,ameerican
,,,,,italian
,,,,,italien
,,,,,americin
,,,,,america
,,,,,itallian
,,,,,ammereican
,,,,,murican
,,,,,americin
,,,,,ammereican
,,,,,americin
,,,,,ameerican
,,,,,asiann
,,,,,americano
,,,,,americen
,,,,,aamerican
,,,,,americin
,,,,,italiann
,,,,,americano
,,,,,merican
,,,,,asian
,,,,,italiann
,,,,,americin
,,,,,american
,,,,,americin
,,,,,americin
,,,,,amerrican
,,,,,asianne
,,,,,americann
,,,,,ammericann
,,,,,murican
,,,,,asiane
,,,,,amerrican
,,,,,itali
,,,,,ammereican
,,,,,ameerican
,,,,,asianne
,,,,,americin
,,,,,ameerican
,,,,,amerycan
,,,,,american
,,,,,italiian
,,,,,ammericann
,,,,,italiann
,,,,,italien
,,,,,asiian
,,,,,asianne
,,,,,italian
,,,,,itallian
,,,,,italianne
,,,,,american
,,,,,italien
,,,,,italien
,,,,,itallian
,,,,,aamerican
,,,,,americen
,,,,,americano
,,,,,italiano
,,,,,america
,,,,,itallian
,,,,,amerrican
,,,,,amerycan
,,,,,ameerrican
,,,,,itali
,,,,,amurican
,,,,,amerrican
,,,,,amurican
,,,,,america
,,,,,asiat
,,,,,amerycan
,,,,,ameerican
,,,,,merican
,,,,,amurican
,,,,,itallian
,,,,,itallian
,,,,,ameriican
,,,,,italianne
,,,,,asiian
,,,,,amurican
,,,,,murican
,,,,,ameriican
,,,,,italiano
,,,,,american
,,,,,ammericann
,,,,,american
,,,,,aamerican
,,,,,ameerrican
,,,,,amerrican
,,,,,american
,,,,,italien
,,,,,asiat
,,,,,ammericann
,,,,,americen
,,,,,merican
,,,,,americen
,,,,,ammericann
,,,,,asian
,,,,,america
,,,,,ameriican
,,,,,asian
,,,,,asianne
,,,,,asiat
,,,,,asiann
,,,,,ammericann
,,,,,italiano
,,,,,amerycan
,,,,,amerycan
,,,,,italiann
,,,,,italiaan
,,,,,ameerrican
,,,,,american
,,,,,italiano
,,,,,itali
,,,,,americen
,,,,,murican
,,,,,italiann
,,,,,americano
,,,,,merican
,,,,,americano
,,,,,ammereican
,,,,,ameerican
,,,,,amurican
,,,,,ameerican
,,,,,italien
,,,,,asiane
,,,,,ammericann
,,,,,americin
,,,,,asiann
,,,,,italian
,,,,,amurican
,,,,,american
,,,,,ammereican
,,,,,italiann
,,,,,asiaan
,,,,,asiaan
,,,,,ammericann
,,,,,italiano
,,,,,italiano
,,,,,asiane
,,,,,asiian
,,,,,amerrican
,,,,,aamerican
,,,,,asiat
,,,,,ammericann
,,,,,italiaan
,,,,,italiian
,,,,,asiian
,,,,,asiat
,,,,,merican
,,,,,aamerican
,,,,,americano
,,,,,itali
,,,,,italiian
,,,,,america
,,,,,ameerican
,,,,,ameerrican
,,,,,americen
,,,,,america
,,,,,asian
,,,,,italian
,,,,,asian
,,,,,asiat
,,,,,murican
,,,,,ameriican
,,,,,americano
,,,,,itali
,,,,,italian
,,,,,italian
,,,,,ameerican
,,,,,asianne
,,,,,italiaan
,,,,,italiano
,,,,,american
,,,,,asiann
,,,,,italiaan
,,,,,itallian
,,,,,americen
,,,,,ameerican
,,,,,ameriican
,,,,,ammericann
,,,,,americin
,,,,,itallian
,,,,,aamerican
,,,,,itallian
,,,,,italiann
,,,,,amurican
,,,,,asiaan
,,,,,italiaan
,,,,,amurican
,,,,,asiaan
,,,,,itallian
,,,,,italiano
,,,,,asianne
,,,,,ameriican
,,,,,ameriican
,,,,,italiaan
,,,,,americano
,,,,,italien
,,,,,amerycan
,,,,,italiaan
,,,,,italiano
,,,,,itali
,,,,,asiane
,,,,,italiann
,,,,,asian
,,,,,aamerican
,,,,,amerrican
,,,,,aamerican
,,,,,itali
,,,,,italien
,,,,,amurican
,,,,,italien
,,,,,american
,,,,,ammereican
,,,,,italian
,,,,,amerrican
,,,,,ammereican
,,,,,asiann
,,,,,amerycan
,,,,,americen
,,,,,americen
,,,,,americann
,,,,,americann
,,,,,amurican
,,,,,asiann
,,,,,americano
,,,,,ameerrican
,,,,,ameriican
,,,,,asiian
,,,,,italiann
,,,,,americann
,,,,,americann
,,,,,italian
,,,,,americin
,,,,,itallian
,,,,,asiann
,,,,,ameriican
,,,,,americin
,,,,,italiian
,,,,,ammereican
,,,,,ameriican
,,,,,italiian
,,,,,italiano
,,,,,amerycan
,,,,,ameriican
,,,,,italien
,,,,,italianne
,,,,,asiann
,,,,,itali
,,,,,italiian
,,,,,american
,,,,,itallian
,,,,,italianne
,,,,,murican
,,,,,america
,,,,,americann
,,,,,america
,,,,,americano
,,,,,ammericann
,,,,,americin
,,,,,americann
,,,,,merican
,,,,,americann
,,,,,itallian
,,,,,italiaan
,,,,,america
,,,,,ameerican
,,,,,asiaan
,,,,,italiann
,,,,,asian
,,,,,asiaan
