id,date_opened,total
A880C79F,2003-10-19,169305
BE8222DF,"October 05, 2018",107460
19F9E113,2008-07-29,15297152
A2FE52A3,2005-06-09,14897272
F6DC2C08,2012-03-31,124568
D2E55799,2007-06-20,13635752
53AE87EF,"December 01, 2017",15375984
3E97F253,2019-06-03,14515800
4AE79EA1,2011-05-07,23338536
2322DFB4,2018-04-07,189524
645335B2,2018-11-16,154001
D5EB0F00,2001-04-16,174576
1EB593F7,2005-04-21,191989
DDBA03D9,2006-06-13,9617192
40E4A2F4,2009-01-07,180547
39132EEA,2012-07-07,15611960
387F8E4D,"January 03, 2011",9402640
11C3C3C0,"December 24, 2017",180003
C2FC91E1,2004-05-21,105722
FB8F01C1,2001-09-06,22575072
0128D2D0,2005-04-09,19179784
BE6E4B3F,2009-10-20,15679976
7C6E2ECC,2003-05-16,169814
02E63545,2015-10-25,125117
4399C98B,"May 19, 2001",130421
98F4CF0F,"May 27, 2014",14893944
247222A6,"May 26, 2015",150372
420985EE,2008-12-27,123125
0E3903BA,2015-11-11,182668
64EF994F,2009-02-26,161141
CCF84EDB,2008-12-26,136128
51C21705,"April 22, 2016",16191136
C868C6AD,"January 31, 2000",11733072
92C237C6,2005-12-13,11838528
9ECEADB2,"May 17, 2018",146153
DF0AFE50,2004-12-03,15250040
5CD605B3,2016-10-19,87921
402839E2,"September 14, 2019",163416
78286CE7,2009-10-05,15049216
168E071B,2013-07-11,87826
466CCDAA,2002-03-24,14981304
8DE1ECB9,2015-10-17,217975
E19FE6B5,"June 06, 2009",101936
1240D39C,"September 07, 2011",15761824
A7BFAA72,2019-11-12,133790
C3D24436,"May 24, 2002",101584
FAD92F0F,"September 13, 2007",17081064
236A1D51,2019-10-01,18486936
A6DDDC4C,2000-08-17,67962
DDFD0B3D,2001-04-11,15776384
D13375E9,"November 01, 2005",13944632
AC50B796,2016-06-30,16111264
290319FD,"May 27, 2005",170178
FC71925A,"November 02, 2006",186281
7B0F3685,2013-05-23,179102
BE411172,2017-02-24,17689984
58066E39,"September 16, 2015",17025632
EA7FF83A,2004-11-02,11598704
14A2DDB7,2019-03-06,12808952
305EEAA8,2018-09-01,14417728
8F25E54C,"November 24, 2008",189126
19DD73C6,2002-12-31,14692600
ACB8E6AF,2013-07-27,71359
91BFCC40,2014-01-10,132859
86ACAF81,2011-12-14,24533704
77E85C14,"November 20, 2009",13868192
C5C6B79D,2008-03-01,188424
0E5B69F5,2018-05-07,18650632
5275B518,2017-11-23,71665
17217048,"May 25, 2001",20111208
E7496A7F,2008-09-27,142669
41BBB7B4,"February 22, 2005",144229
F6C7ABA1,2008-01-07,183440
E699DF01,"February 17, 2008",199603
BACA7378,2005-05-11,204271
84A4302F,2003-08-12,19420648
F8A78C27,"April 05, 2006",41164
8BADDF6A,"December 31, 2010",158203
9FB57E68,"September 01, 2017",216352
5C98E8F5,2014-11-25,103200
6BB53C2A,"December 03, 2016",146394
E23F2505,"October 15, 2017",121614
0C121914,"June 21, 2017",227729
3627E08A,2008-04-01,238104
A94493B3,"August 01, 2009",85975
0682E9DE,2002-10-01,72832
49931170,2011-03-25,14519856
A154F63B,2000-07-11,133800
3690CCED,2014-10-19,226595
48F5E6D8,"February 16, 2020",135435
515FAD84,2013-06-20,98190
59794264,2008-01-16,157964
2038185B,2016-06-24,194662
65EAC615,"February 20, 2004",140191
6C7509C9,"September 16, 2000",212089
BD969A9D,2007-04-29,167238
B0CDCE3D,"May 28, 2014",145240
33A7F03E,"October 14, 2007",191839